country_code,return_fee_cents,exchange_fee_cents,updated_at,max_grams
*,2500,2400,2026-07-28 14:18:59.127,2147483647
AE,2500,2400,2026-07-28 14:18:56.685667,2147483647
AR,2500,2400,2026-07-28 14:18:56.979786,2147483647
AT,1500,1400,2026-07-28 14:18:57.035057,2147483647
AU,2500,2400,2026-07-28 14:18:57.08601,2147483647
BE,1000,900,2026-07-28 14:18:57.136534,2147483647
BG,1500,1400,2026-07-28 14:18:57.186379,2147483647
BR,2500,2400,2026-07-28 14:18:57.316638,2147483647
CA,2500,2400,2026-07-28 14:18:57.364928,2147483647
CH,2500,2400,2026-07-28 14:18:57.417088,2147483647
CL,2500,2400,2026-07-28 14:18:57.466867,2147483647
CO,2500,2400,2026-07-28 14:18:57.514134,2147483647
CY,2500,2400,2026-07-28 14:18:57.566883,2147483647
CZ,1500,1400,2026-07-28 14:18:57.612522,2147483647
DE,1000,900,2026-07-28 14:18:57.660838,2147483647
DK,1000,900,2026-07-28 14:18:57.706583,2147483647
EE,1500,1400,2026-07-28 14:18:57.753375,2147483647
ES,500,400,2026-07-28 14:18:57.747,2147483647
FI,1000,900,2026-07-28 14:18:57.887002,2147483647
FR,1000,900,2026-07-28 14:18:57.932243,2147483647
GB,1500,1400,2026-07-28 14:18:57.979847,2147483647
GR,1500,1400,2026-07-28 14:18:58.028073,2147483647
HR,1500,1400,2026-07-28 14:18:58.078448,2147483647
HU,1500,1400,2026-07-28 14:18:58.130536,2147483647
IE,2500,2400,2026-07-28 14:18:58.175851,2147483647
IL,2500,2400,2026-07-28 14:18:58.220756,2147483647
IS,2500,2400,2026-07-28 14:18:58.268918,2147483647
IT,1000,900,2026-07-28 14:18:58.369163,2147483647
JP,2500,2400,2026-07-28 14:18:58.418977,2147483647
LT,1500,1400,2026-07-28 14:18:58.466547,2147483647
LU,1500,1400,2026-07-28 14:18:58.522959,2147483647
LV,1500,1400,2026-07-28 14:18:58.565524,2147483647
MT,2500,2400,2026-07-28 14:18:58.612635,2147483647
MX,2500,2400,2026-07-28 14:18:58.6571,2147483647
NL,1000,900,2026-07-28 14:18:58.70497,2147483647
NO,2500,2400,2026-07-28 14:18:58.749497,2147483647
PL,1500,1400,2026-07-28 14:18:58.793922,2147483647
PT,1000,900,2026-07-28 14:18:58.892582,2147483647
RO,1500,1400,2026-07-28 14:18:58.937906,2147483647
SE,1500,1400,2026-07-28 14:18:58.985644,2147483647
SI,1500,1400,2026-07-28 14:18:59.039364,2147483647
SK,1500,1400,2026-07-28 14:18:59.085172,2147483647
US,2500,2400,2026-07-28 14:18:59.131923,2147483647
UY,2500,2400,2026-07-28 14:18:59.179957,2147483647
