country_code,return_fee_cents,exchange_fee_cents,updated_at,max_grams
*,8300,8200,2026-07-28 16:44:48.155,1000
*,10000,9900,2026-07-28 16:44:48.205,2000
*,13400,13300,2026-07-28 16:44:48.254,3000
*,13400,13300,2026-07-28 16:44:48.311,5000
*,20700,20600,2026-07-28 16:44:48.358,2147483647
AE,5100,5000,2026-07-28 16:44:28.236,1000
AE,6700,6600,2026-07-28 16:44:29.798,2000
AE,10100,10000,2026-07-28 16:44:30.029,3000
AE,10100,10000,2026-07-28 16:44:30.102,5000
AE,17300,17200,2026-07-28 16:44:30.389,2147483647
AR,5100,5000,2026-07-28 16:44:30.531,1000
AR,6700,6600,2026-07-28 16:44:30.611,2000
AR,10100,10000,2026-07-28 16:44:30.855,3000
AR,10100,10000,2026-07-28 16:44:31.049,5000
AR,17300,17200,2026-07-28 16:44:31.116,2147483647
AT,1300,1200,2026-07-28 16:44:31.171,1000
AT,1500,1400,2026-07-28 16:44:31.287,2000
AT,1900,1800,2026-07-28 16:44:31.468,3000
AT,2800,2700,2026-07-28 16:44:31.647,5000
AT,3400,3300,2026-07-28 16:44:31.7,2147483647
AU,5100,5000,2026-07-28 16:44:31.82,1000
AU,6700,6600,2026-07-28 16:44:31.99,2000
AU,10100,10000,2026-07-28 16:44:32.055,3000
AU,10100,10000,2026-07-28 16:44:32.179,5000
AU,17300,17200,2026-07-28 16:44:32.336,2147483647
BE,1100,1000,2026-07-28 16:44:32.384,1000
BE,1400,1300,2026-07-28 16:44:32.557,2000
BE,1400,1300,2026-07-28 16:44:32.733,3000
BE,2300,2200,2026-07-28 16:44:32.864,5000
BE,2600,2500,2026-07-28 16:44:33.038,2147483647
BG,1800,1700,2026-07-28 16:44:33.096,1000
BG,2200,2100,2026-07-28 16:44:33.145,2000
BG,2200,2100,2026-07-28 16:44:33.195,3000
BG,3100,3000,2026-07-28 16:44:33.252,5000
BG,3700,3600,2026-07-28 16:44:33.385,2147483647
BR,5100,5000,2026-07-28 16:44:33.567,1000
BR,6700,6600,2026-07-28 16:44:33.749,2000
BR,10100,10000,2026-07-28 16:44:33.8,3000
BR,10100,10000,2026-07-28 16:44:33.919,5000
BR,17300,17200,2026-07-28 16:44:34.088,2147483647
CA,4600,4500,2026-07-28 16:44:34.136,1000
CA,6700,6600,2026-07-28 16:44:34.185,2000
CA,9600,9500,2026-07-28 16:44:34.235,3000
CA,9700,9600,2026-07-28 16:44:34.283,5000
CA,15900,15800,2026-07-28 16:44:34.33,2147483647
CH,4400,4300,2026-07-28 16:44:34.432,1000
CH,5200,5100,2026-07-28 16:44:34.613,2000
CH,7200,7100,2026-07-28 16:44:34.662,3000
CH,7200,7100,2026-07-28 16:44:34.713,5000
CH,11200,11100,2026-07-28 16:44:34.758,2147483647
CL,5100,5000,2026-07-28 16:44:34.808,1000
CL,6700,6600,2026-07-28 16:44:34.862,2000
CL,10100,10000,2026-07-28 16:44:34.969,3000
CL,10100,10000,2026-07-28 16:44:35.018,5000
CL,17300,17200,2026-07-28 16:44:35.068,2147483647
CO,5100,5000,2026-07-28 16:44:35.117,1000
CO,6700,6600,2026-07-28 16:44:35.168,2000
CO,10100,10000,2026-07-28 16:44:35.229,3000
CO,10100,10000,2026-07-28 16:44:35.285,5000
CO,17300,17200,2026-07-28 16:44:35.332,2147483647
CY,5400,5300,2026-07-28 16:44:35.386,1000
CY,7200,7100,2026-07-28 16:44:35.487,2000
CY,11200,11100,2026-07-28 16:44:35.547,3000
CY,11300,11200,2026-07-28 16:44:35.597,5000
CY,18800,18700,2026-07-28 16:44:35.655,2147483647
CZ,1300,1200,2026-07-28 16:44:35.714,1000
CZ,1500,1400,2026-07-28 16:44:35.763,2000
CZ,1900,1800,2026-07-28 16:44:35.81,3000
CZ,2800,2700,2026-07-28 16:44:35.857,5000
CZ,3400,3300,2026-07-28 16:44:35.907,2147483647
DE,1100,1000,2026-07-28 16:44:36.009,1000
DE,1400,1300,2026-07-28 16:44:36.063,2000
DE,1400,1300,2026-07-28 16:44:36.113,3000
DE,1800,1700,2026-07-28 16:44:36.167,5000
DE,2200,2100,2026-07-28 16:44:36.23,2147483647
DK,1100,1000,2026-07-28 16:44:36.286,1000
DK,1400,1300,2026-07-28 16:44:36.363,2000
DK,1400,1300,2026-07-28 16:44:36.417,3000
DK,2500,2400,2026-07-28 16:44:36.58,5000
DK,2800,2700,2026-07-28 16:44:36.645,2147483647
EE,1800,1700,2026-07-28 16:44:36.695,1000
EE,2200,2100,2026-07-28 16:44:36.753,2000
EE,2200,2100,2026-07-28 16:44:36.813,3000
EE,3100,3000,2026-07-28 16:44:36.885,5000
EE,3700,3600,2026-07-28 16:44:36.938,2147483647
ES,500,400,2026-07-28 16:44:37.056,1000
ES,500,400,2026-07-28 16:44:37.124,2000
ES,500,400,2026-07-28 16:44:37.186,3000
ES,700,600,2026-07-28 16:44:37.236,5000
ES,900,800,2026-07-28 16:44:37.299,2147483647
ES-CM,4500,4400,2026-07-28 16:44:37.515154,1000
ES-CM,4600,4500,2026-07-28 16:44:37.564079,2000
ES-CM,4700,4600,2026-07-28 16:44:37.618612,3000
ES-CM,4900,4800,2026-07-28 16:44:37.768207,5000
ES-CM,6000,5900,2026-07-28 16:44:37.865637,2147483647
ES-CN,2200,2100,2026-07-28 16:44:37.927879,1000
ES-CN,2800,2700,2026-07-28 16:44:37.984069,2000
ES-CN,3300,3200,2026-07-28 16:44:38.036047,3000
ES-CN,4400,4300,2026-07-28 16:44:38.093917,5000
ES-CN,7200,7100,2026-07-28 16:44:38.165192,2147483647
ES-IB,900,800,2026-07-28 16:44:38.301862,1000
ES-IB,1000,900,2026-07-28 16:44:38.361857,2000
ES-IB,1200,1100,2026-07-28 16:44:38.41617,3000
ES-IB,1400,1300,2026-07-28 16:44:38.468573,5000
ES-IB,1900,1800,2026-07-28 16:44:38.530114,2147483647
FI,1100,1000,2026-07-28 16:44:38.411,1000
FI,1400,1300,2026-07-28 16:44:38.491,2000
FI,1400,1300,2026-07-28 16:44:38.544,3000
FI,2500,2400,2026-07-28 16:44:38.672,5000
FI,2800,2700,2026-07-28 16:44:38.719,2147483647
FR,1100,1000,2026-07-28 16:44:38.782,1000
FR,1400,1300,2026-07-28 16:44:38.829,2000
FR,1400,1300,2026-07-28 16:44:38.888,3000
FR,2100,2000,2026-07-28 16:44:38.933,5000
FR,2600,2500,2026-07-28 16:44:38.985,2147483647
GB,1700,1600,2026-07-28 16:44:39.03,1000
GB,1900,1800,2026-07-28 16:44:39.155,2000
GB,1900,1800,2026-07-28 16:44:39.214,3000
GB,2100,2000,2026-07-28 16:44:39.267,5000
GB,2600,2500,2026-07-28 16:44:39.323,2147483647
GR,1300,1200,2026-07-28 16:44:39.371,1000
GR,1500,1400,2026-07-28 16:44:39.431,2000
GR,1900,1800,2026-07-28 16:44:39.49,3000
GR,2800,2700,2026-07-28 16:44:39.549,5000
GR,3400,3300,2026-07-28 16:44:39.692,2147483647
HR,1800,1700,2026-07-28 16:44:39.76,1000
HR,2200,2100,2026-07-28 16:44:39.825,2000
HR,2200,2100,2026-07-28 16:44:39.883,3000
HR,3100,3000,2026-07-28 16:44:39.945,5000
HR,3700,3600,2026-07-28 16:44:39.997,2147483647
HU,1800,1700,2026-07-28 16:44:40.052,1000
HU,2200,2100,2026-07-28 16:44:40.141,2000
HU,2200,2100,2026-07-28 16:44:40.265,3000
HU,3100,3000,2026-07-28 16:44:40.317,5000
HU,3700,3600,2026-07-28 16:44:40.38,2147483647
IE,5400,5300,2026-07-28 16:44:40.442,1000
IE,7200,7100,2026-07-28 16:44:40.553,2000
IE,11200,11100,2026-07-28 16:44:40.696,3000
IE,11300,11200,2026-07-28 16:44:40.795,5000
IE,18800,18700,2026-07-28 16:44:40.846,2147483647
IL,8300,8200,2026-07-28 16:44:40.922,1000
IL,10000,9900,2026-07-28 16:44:40.986,2000
IL,13400,13300,2026-07-28 16:44:41.05,3000
IL,13400,13300,2026-07-28 16:44:41.118,5000
IL,20700,20600,2026-07-28 16:44:41.264,2147483647
IS,5300,5200,2026-07-28 16:44:41.315,1000
IS,7100,7000,2026-07-28 16:44:41.363,2000
IS,10900,10800,2026-07-28 16:44:41.422,3000
IS,10900,10800,2026-07-28 16:44:41.474,5000
IS,18100,18000,2026-07-28 16:44:41.523,2147483647
IT,1100,1000,2026-07-28 16:44:41.58,1000
IT,1400,1300,2026-07-28 16:44:41.629,2000
IT,1400,1300,2026-07-28 16:44:41.685,3000
IT,1800,1700,2026-07-28 16:44:41.928,5000
IT,2200,2100,2026-07-28 16:44:42.018,2147483647
JP,5100,5000,2026-07-28 16:44:42.102,1000
JP,6700,6600,2026-07-28 16:44:42.198,2000
JP,10100,10000,2026-07-28 16:44:42.381,3000
JP,10100,10000,2026-07-28 16:44:42.494,5000
JP,17300,17200,2026-07-28 16:44:42.581,2147483647
LT,1800,1700,2026-07-28 16:44:42.689,1000
LT,2200,2100,2026-07-28 16:44:42.823,2000
LT,2200,2100,2026-07-28 16:44:42.881,3000
LT,3100,3000,2026-07-28 16:44:42.936,5000
LT,3700,3600,2026-07-28 16:44:43.015,2147483647
LU,1300,1200,2026-07-28 16:44:43.09,1000
LU,1500,1400,2026-07-28 16:44:43.146,2000
LU,1900,1800,2026-07-28 16:44:43.195,3000
LU,2800,2700,2026-07-28 16:44:43.253,5000
LU,3400,3300,2026-07-28 16:44:43.363,2147483647
LV,1800,1700,2026-07-28 16:44:43.423,1000
LV,2200,2100,2026-07-28 16:44:43.487,2000
LV,2200,2100,2026-07-28 16:44:43.541,3000
LV,3100,3000,2026-07-28 16:44:43.628,5000
LV,3700,3600,2026-07-28 16:44:43.698,2147483647
MT,5400,5300,2026-07-28 16:44:43.82,1000
MT,7200,7100,2026-07-28 16:44:43.917,2000
MT,11200,11100,2026-07-28 16:44:43.99,3000
MT,11300,11200,2026-07-28 16:44:44.056,5000
MT,18800,18700,2026-07-28 16:44:44.194,2147483647
MX,4600,4500,2026-07-28 16:44:44.255,1000
MX,6700,6600,2026-07-28 16:44:44.302,2000
MX,9600,9500,2026-07-28 16:44:44.437,3000
MX,9700,9600,2026-07-28 16:44:44.497,5000
MX,15900,15800,2026-07-28 16:44:44.558,2147483647
NL,1100,1000,2026-07-28 16:44:44.621,1000
NL,1400,1300,2026-07-28 16:44:44.681,2000
NL,1400,1300,2026-07-28 16:44:44.729,3000
NL,2300,2200,2026-07-28 16:44:44.781,5000
NL,2600,2500,2026-07-28 16:44:44.842,2147483647
NO,4400,4300,2026-07-28 16:44:44.967,1000
NO,5200,5100,2026-07-28 16:44:45.013,2000
NO,7200,7100,2026-07-28 16:44:45.062,3000
NO,7200,7100,2026-07-28 16:44:45.116,5000
NO,11200,11100,2026-07-28 16:44:45.173,2147483647
PL,1300,1200,2026-07-28 16:44:45.258,1000
PL,1500,1400,2026-07-28 16:44:45.328,2000
PL,1900,1800,2026-07-28 16:44:45.457,3000
PL,2800,2700,2026-07-28 16:44:45.515,5000
PL,3400,3300,2026-07-28 16:44:45.559,2147483647
PT,1000,900,2026-07-28 16:44:45.619,1000
PT,1100,1000,2026-07-28 16:44:45.685,2000
PT,1100,1000,2026-07-28 16:44:45.767,3000
PT,1700,1600,2026-07-28 16:44:45.82,5000
PT,2000,1900,2026-07-28 16:44:45.883,2147483647
RO,1800,1700,2026-07-28 16:44:46.015,1000
RO,2200,2100,2026-07-28 16:44:46.071,2000
RO,2200,2100,2026-07-28 16:44:46.13,3000
RO,3100,3000,2026-07-28 16:44:46.197,5000
RO,3700,3600,2026-07-28 16:44:46.265,2147483647
SE,1300,1200,2026-07-28 16:44:46.34,1000
SE,1500,1400,2026-07-28 16:44:46.39,2000
SE,1900,1800,2026-07-28 16:44:46.587,3000
SE,2800,2700,2026-07-28 16:44:46.635,5000
SE,3400,3300,2026-07-28 16:44:46.687,2147483647
SI,1800,1700,2026-07-28 16:44:46.756,1000
SI,2200,2100,2026-07-28 16:44:46.806,2000
SI,2200,2100,2026-07-28 16:44:46.868,3000
SI,3100,3000,2026-07-28 16:44:47.024,5000
SI,3700,3600,2026-07-28 16:44:47.079,2147483647
SK,1800,1700,2026-07-28 16:44:47.142,1000
SK,2200,2100,2026-07-28 16:44:47.197,2000
SK,2200,2100,2026-07-28 16:44:47.259,3000
SK,3100,3000,2026-07-28 16:44:47.318,5000
SK,3700,3600,2026-07-28 16:44:47.381,2147483647
US,2200,2100,2026-07-28 16:44:47.436,1000
US,2300,2200,2026-07-28 16:44:47.595,2000
US,8700,8600,2026-07-28 16:44:47.653,3000
US,8700,8600,2026-07-28 16:44:47.701,5000
US,13800,13700,2026-07-28 16:44:47.761,2147483647
UY,5100,5000,2026-07-28 16:44:47.819,1000
UY,6700,6600,2026-07-28 16:44:47.866,2000
UY,10100,10000,2026-07-28 16:44:47.918,3000
UY,10100,10000,2026-07-28 16:44:47.966,5000
UY,17300,17200,2026-07-28 16:44:48.108,2147483647
