country_code,return_fee_cents,exchange_fee_cents,updated_at,max_grams
*,8300,8200,2026-07-28 16:18:20.942951,1000
*,10000,9900,2026-07-28 16:18:20.993057,2000
*,13400,13300,2026-07-28 16:18:21.037404,3000
*,13400,13300,2026-07-28 16:18:21.083431,5000
*,20700,20600,2026-07-28 16:18:21.096,2147483647
AE,5100,5000,2026-07-28 16:18:06.708545,1000
AE,6700,6600,2026-07-28 16:18:06.911137,2000
AE,10100,10000,2026-07-28 16:18:07.051414,3000
AE,10100,10000,2026-07-28 16:18:07.096791,5000
AE,17300,17200,2026-07-28 16:18:07.027,2147483647
AR,5100,5000,2026-07-28 16:18:07.198219,1000
AR,6700,6600,2026-07-28 16:18:07.246916,2000
AR,10100,10000,2026-07-28 16:18:07.294481,3000
AR,10100,10000,2026-07-28 16:18:07.346566,5000
AR,17300,17200,2026-07-28 16:18:07.28,2147483647
AT,1300,1200,2026-07-28 16:18:07.453991,1000
AT,1500,1400,2026-07-28 16:18:07.584173,2000
AT,1900,1800,2026-07-28 16:18:07.631111,3000
AT,2800,2700,2026-07-28 16:18:07.676733,5000
AT,3400,3300,2026-07-28 16:18:07.609,2147483647
AU,5100,5000,2026-07-28 16:18:07.781831,1000
AU,6700,6600,2026-07-28 16:18:07.827971,2000
AU,10100,10000,2026-07-28 16:18:07.873736,3000
AU,10100,10000,2026-07-28 16:18:07.919979,5000
AU,17300,17200,2026-07-28 16:18:07.851,2147483647
BE,1100,1000,2026-07-28 16:18:08.107527,1000
BE,1400,1300,2026-07-28 16:18:08.152787,2000
BE,1400,1300,2026-07-28 16:18:08.200392,3000
BE,2300,2200,2026-07-28 16:18:08.244883,5000
BE,2600,2500,2026-07-28 16:18:08.176,2147483647
BG,1800,1700,2026-07-28 16:18:08.337319,1000
BG,2200,2100,2026-07-28 16:18:08.38449,2000
BG,2200,2100,2026-07-28 16:18:08.433791,3000
BG,3100,3000,2026-07-28 16:18:08.480848,5000
BG,3700,3600,2026-07-28 16:18:08.416,2147483647
BR,5100,5000,2026-07-28 16:18:08.632272,1000
BR,6700,6600,2026-07-28 16:18:08.67535,2000
BR,10100,10000,2026-07-28 16:18:08.72497,3000
BR,10100,10000,2026-07-28 16:18:08.765731,5000
BR,17300,17200,2026-07-28 16:18:08.695,2147483647
CA,4600,4500,2026-07-28 16:18:08.859295,1000
CA,6700,6600,2026-07-28 16:18:08.905382,2000
CA,9600,9500,2026-07-28 16:18:08.948206,3000
CA,9700,9600,2026-07-28 16:18:08.995522,5000
CA,15900,15800,2026-07-28 16:18:09.038,2147483647
CH,4400,4300,2026-07-28 16:18:09.293535,1000
CH,5200,5100,2026-07-28 16:18:09.430672,2000
CH,7200,7100,2026-07-28 16:18:09.569283,3000
CH,7200,7100,2026-07-28 16:18:09.680822,5000
CH,11200,11100,2026-07-28 16:18:09.653,2147483647
